#,title,img,link
1,Barrel - Part 1,https://imgs.xkcd.com/comics/barrel_cropped_(1).jpg,
2,Petit Trees (sketch),https://imgs.xkcd.com/comics/tree_cropped_(1).jpg,
3,Island (sketch),https://imgs.xkcd.com/comics/island_color.jpg,
4,Landscape (sketch),https://imgs.xkcd.com/comics/landscape_cropped_(1).jpg,
5,Blown apart,https://imgs.xkcd.com/comics/blownapart_color.jpg,
6,Irony,https://imgs.xkcd.com/comics/irony_color.jpg,
7,Girl sleeping (Sketch -- 11th grade Spanish class),https://imgs.xkcd.com/comics/girl_sleeping_noline_(1).jpg,
8,Red spiders,https://imgs.xkcd.com/comics/red_spiders_small.jpg,
9,Serenity is coming out tomorrow,https://imgs.xkcd.com/comics/firefly.jpg,
10,Pi Equals,https://imgs.xkcd.com/comics/pi.jpg,
11,Barrel - Part 2,https://imgs.xkcd.com/comics/barrel_mommies.jpg,
12,Poisson,https://imgs.xkcd.com/comics/poisson.jpg,
13,Canyon,https://imgs.xkcd.com/comics/canyon_small.jpg,
14,Copyright,https://imgs.xkcd.com/comics/copyright.jpg,
15,Just Alerting You,https://imgs.xkcd.com/comics/just_alerting_you.jpg,
16,Monty Python -- Enough,https://imgs.xkcd.com/comics/monty_python.jpg,
17,What If,https://imgs.xkcd.com/comics/what_if.jpg,
18,Snapple,https://imgs.xkcd.com/comics/snapple.jpg,
19,George Clinton,https://imgs.xkcd.com/comics/george_clinton.jpg,
20,Ferret,https://imgs.xkcd.com/comics/ferret.jpg,
21,Kepler,https://imgs.xkcd.com/comics/kepler.jpg,
22,Barrel - Part 3,https://imgs.xkcd.com/comics/barrel_whirlpool.jpg,
23,T-shirts,https://imgs.xkcd.com/comics/t-shirts.jpg,
24,"Godel, Escher, Kurt Halsey",https://imgs.xkcd.com/comics/godel_escher_kurthalsey.jpg,
25,Barrel - Part 4,https://imgs.xkcd.com/comics/barrel_part_4.jpg,
26,Fourier,https://imgs.xkcd.com/comics/fourier.jpg,
27,Meat Cereals,https://imgs.xkcd.com/comics/meat_cereals.jpg,
28,Elefino,https://imgs.xkcd.com/comics/elefino.jpg,
29,Hitler,https://imgs.xkcd.com/comics/hitler.jpg,
